更新时间,#genre#
2024-10-30 06:55:55,url
📺央视频道,#genre#
CCTV-1,http://123.129.70.178:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-1,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010011/index.m3u8$订阅源
CCTV-1,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/1000000001000018602/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000001000018602$订阅源|1920x1080
CCTV-1,http://39.98.201.151:9090/udp/225.1.8.1:8008$订阅源
CCTV-1,http://110.53.218.182:9902/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-1,http://[2409:8087:74d9:21::6]:80/270000001128/9900000001/index.m3u8$订阅源
CCTV-1,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226670/index.m3u8$订阅源
CCTV-1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$订阅源
CCTV-1,http://171.8.138.74:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源|1920x1080
CCTV-1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226016/index.m3u8$订阅源
CCTV-1,http://101.68.81.44:9999/rtp/233.50.201.118:5140$浙江联通组播源|1920x1080
CCTV-1,http://60.189.165.36:5555/rtp/233.50.201.222:5140$浙江电信组播源|1920x1080
CCTV-1,http://120.55.49.231:3095/rtp/233.50.201.222:5140$浙江电信组播源
CCTV-1,http://115.220.243.30:9999/rtp/233.50.201.222:5140$浙江电信组播源|1920x1080
CCTV-1,http://115.230.188.101:9999/rtp/233.50.201.222:5140$浙江电信组播源|1920x1080
CCTV-1,http://60.189.165.36:5555/rtp/233.50.201.99:5140$浙江电信组播源|1920x1080
CCTV-1,http://120.55.49.231:3095/rtp/233.50.201.99:5140$浙江电信组播源
CCTV-1,http://115.220.243.30:9999/rtp/233.50.201.99:5140$浙江电信组播源|1920x1080
CCTV-1,http://115.230.188.101:9999/rtp/233.50.201.99:5140$浙江电信组播源|1920x1080
CCTV-1,http://121.233.190.83:8600/rtp/239.49.8.129:6000$江苏电信组播源|1920x1080
CCTV-2,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8$订阅源
CCTV-2,http://202.103.213.10:8888/udp/239.81.0.115:4056$订阅源|1920x1080
CCTV-2,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/8/3221225588/index.m3u8$订阅源
CCTV-2,http://fangke.blueswords.com:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://123.129.70.178:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://112.234.23.81:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://122.139.47.206:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源|1920x1080
CCTV-2,http://60.12.183.46:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-2,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226676/index.m3u8$订阅源
CCTV-2,http://61.138.128.226:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://101.68.81.44:9999/rtp/233.50.201.119:5140$浙江联通组播源|1920x1080
CCTV-2,http://60.189.165.36:5555/rtp/233.50.201.119:5140$浙江电信组播源|1920x1080
CCTV-2,http://120.55.49.231:3095/rtp/233.50.201.119:5140$浙江电信组播源
CCTV-2,http://115.220.243.30:9999/rtp/233.50.201.119:5140$浙江电信组播源|1920x1080
CCTV-2,http://115.230.188.101:9999/rtp/233.50.201.119:5140$浙江电信组播源|1920x1080
CCTV-2,http://60.189.165.36:5555/rtp/233.50.201.2:5140$浙江电信组播源|1920x1080
CCTV-2,http://120.55.49.231:3095/rtp/233.50.201.2:5140$浙江电信组播源
CCTV-2,http://115.220.243.30:9999/rtp/233.50.201.2:5140$浙江电信组播源|1920x1080
CCTV-2,http://115.230.188.101:9999/rtp/233.50.201.2:5140$浙江电信组播源|1920x1080
CCTV-2,http://121.233.190.83:8600/rtp/239.49.8.130:6000$江苏电信组播源|1920x1080
CCTV-3,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$订阅源
CCTV-3,http://171.8.138.74:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源|1920x1080
CCTV-3,http://115.234.227.164:8808/udp/233.50.200.107:5140$订阅源|1920x1080
CCTV-3,http://202.100.46.58:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://220.249.114.102:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/main.m3u8$订阅源
CCTV-3,http://117.27.190.42:9998/tsfile/live/23234_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000011218/1.m3u8$订阅源
CCTV-3,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$订阅源
CCTV-3,http://111.9.163.109:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://101.68.81.44:9999/rtp/233.50.201.196:5140$浙江联通组播源|1920x1080
CCTV-3,http://60.189.165.36:5555/rtp/233.50.201.196:5140$浙江电信组播源|1920x1080
CCTV-3,http://120.55.49.231:3095/rtp/233.50.201.196:5140$浙江电信组播源
CCTV-3,http://115.220.243.30:9999/rtp/233.50.201.196:5140$浙江电信组播源|1920x1080
CCTV-3,http://115.230.188.101:9999/rtp/233.50.201.196:5140$浙江电信组播源|1920x1080
CCTV-3,http://60.189.165.36:5555/rtp/233.50.201.16:5140$浙江电信组播源|1920x1080
CCTV-3,http://120.55.49.231:3095/rtp/233.50.201.16:5140$浙江电信组播源
CCTV-3,http://115.220.243.30:9999/rtp/233.50.201.16:5140$浙江电信组播源|1920x1080
CCTV-3,http://115.230.188.101:9999/rtp/233.50.201.16:5140$浙江电信组播源|1920x1080
CCTV-3,http://121.233.190.83:8600/rtp/239.49.9.31:6000$江苏电信组播源|1920x1080
CCTV-4,http://58.19.38.162:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源|1920x1080
CCTV-4,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000031664/1.m3u8$订阅源
CCTV-4,http://113.25.70.59:8891/udp/239.1.1.10:8010$订阅源|1920x1080
CCTV-4,http://116.128.242.83:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-4,http://60.12.183.46:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-4,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002173/index.m3u8$订阅源
CCTV-4,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226428/index.m3u8$订阅源
CCTV-4,http://kxrj.site:998/123/mg.php?id=cctv4$订阅源
CCTV-4,http://222.218.158.86:8181/tsfile/live/0004_1.m3u8$订阅源|1920x1080
CCTV-4,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265004$订阅源|1920x1080
CCTV-4,http://101.68.81.44:9999/rtp/233.50.201.4:5140$浙江联通组播源|1920x1080
CCTV-4,http://60.189.165.36:5555/rtp/233.50.200.101:5140$浙江电信组播源|1920x1080
CCTV-4,http://120.55.49.231:3095/rtp/233.50.200.101:5140$浙江电信组播源
CCTV-4,http://115.220.243.30:9999/rtp/233.50.200.101:5140$浙江电信组播源|1920x1080
CCTV-4,http://115.230.188.101:9999/rtp/233.50.200.101:5140$浙江电信组播源|1920x1080
CCTV-4,http://60.189.165.36:5555/rtp/233.50.201.4:5140$浙江电信组播源|1920x1080
CCTV-4,http://120.55.49.231:3095/rtp/233.50.201.4:5140$浙江电信组播源
CCTV-4,http://115.220.243.30:9999/rtp/233.50.201.4:5140$浙江电信组播源|1920x1080
CCTV-4,http://115.230.188.101:9999/rtp/233.50.201.4:5140$浙江电信组播源|1920x1080
CCTV-4,http://121.233.190.83:8600/rtp/239.49.8.131:6000$江苏电信组播源|1920x1080
CCTV-5,http://202.103.213.10:8888/udp/239.81.0.232:4056$订阅源|1920x1080
CCTV-5,http://183.223.157.33:9901/tsfile/live/0005_1.m3u8?key=txiptv$订阅源
CCTV-5,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010139/1.m3u8$订阅源
CCTV-5,http://[2409:8087:74d9:21::6]/270000001128/9900000020/index.m3u8$订阅源
CCTV-5,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000//1.m3u8?channel-id=ystenlive&Contentid=1000000005000265005&livemode=1&stbId=3$订阅源|1920x1080
CCTV-5,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265005/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265005&livemode=1&stbId=no$订阅源|1920x1080
CCTV-5,http://58.57.21.166:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5,http://219.159.194.66:8181/tsfile/live/faacts/0005_1.m3u8$订阅源|1920x1080
CCTV-5,http://220.164.192.48:50085/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-5,http://113.57.20.158:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5,http://101.68.81.44:9999/rtp/233.50.201.197:5140$浙江联通组播源|1920x1080
CCTV-5,http://60.189.165.36:5555/rtp/233.50.201.197:5140$浙江电信组播源|1920x1080
CCTV-5,http://120.55.49.231:3095/rtp/233.50.201.197:5140$浙江电信组播源
CCTV-5,http://115.220.243.30:9999/rtp/233.50.201.197:5140$浙江电信组播源|1920x1080
CCTV-5,http://115.230.188.101:9999/rtp/233.50.201.197:5140$浙江电信组播源|1920x1080
CCTV-5,http://60.189.165.36:5555/rtp/233.50.201.17:5140$浙江电信组播源|1920x1080
CCTV-5,http://120.55.49.231:3095/rtp/233.50.201.17:5140$浙江电信组播源
CCTV-5,http://115.220.243.30:9999/rtp/233.50.201.17:5140$浙江电信组播源|1920x1080
CCTV-5,http://115.230.188.101:9999/rtp/233.50.201.17:5140$浙江电信组播源|1920x1080
CCTV-5,http://121.233.190.83:8600/rtp/239.49.9.32:6000$江苏电信组播源|1920x1080
CCTV-5+,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/2/224/3221225603/2.m3u8$订阅源
CCTV-5+,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221225603/index.m3u8$订阅源
CCTV-5+,http://58.19.38.162:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源|1920x1080
CCTV-5+,http://61.138.128.226:19901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5+,http://110.177.146.171:888/udp/239.1.1.12:8012$订阅源|1920x1080
CCTV-5+,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/5000000011000031127/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000011000031127$订阅源|1920x1080
CCTV-5+,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000//1.m3u8?channel-id=ystenlive&Contentid=1000000005000265016&livemode=1&stbId=3$订阅源|1920x1080
